reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,solver_name,seed,p_net_dataset_dir,v_nets_dataset_dir,run_id,start_run_time,clock_running_time
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.74,0.3721509308854869,0.47555605605546786,11827.826305681434,37,0,0,13,17938.0,8454.0,5771979.237172539,12137326.743451897,0.4712899988850485,488.0,17.32377049180328,36.75819672131148,38152,6585,31563,18,456.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T232108,20250515T232109,8.374043941497803
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T232151,20250515T232153,8.897716999053955
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T232151,20250515T232203,7.914230108261108
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T232235,20250515T232236,7.3075950145721436
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T232354,20250515T232355,8.72143006324768
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250516T000805,20250516T000814,7.581851005554199
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250516T000909,20250516T001123,7.515472173690796
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250516T001753,20250516T001857,8.437005996704102
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250516T002153,20250516T002425,7.6973888874053955
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.40599966321430875,0.4671596788896529,8904.670760719573,40,0,0,10,18183.0,8319.0,4345479.331231152,9301914.37231806,0.457515261508002,488.0,17.047131147540984,37.260245901639344,33654,6577,27077,19,172.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250516T003207,20250516T003256,7.104220867156982
